Release 14.6 - par P.68d (nt64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Wed Oct 24 12:50:25 2018


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       dvi_demo_map.ncd
OUTPUT FILE:      dvi_demo_pad.txt
PART TYPE:        xc6slx9
SPEED GRADE:      -3
PACKAGE:          tqg144

Pinout by Pin Number:

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name |Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|IO Register|Signal Integrity|
|P128      |            |         |VCCINT                    |         |           |              |          |         |           |         |1.2    |          |           |                |
|P129      |            |         |VCCAUX                    |         |           |              |          |         |           |         |3.3    |          |           |                |
|P130      |            |         |GND                       |         |           |              |          |         |           |         |       |          |           |                |
|P131      |LED<4>      |IOB      |IO_L35N_GCLK16_0          |OUTPUT   |LVCMOS33   |0             |12        |SLOW     |           |         |       |LOCATED   |NO         |NONE            |
|P132      |LED<5>      |IOB      |IO_L35P_GCLK17_0          |OUTPUT   |LVCMOS33   |0             |12        |SLOW     |           |         |       |LOCATED   |NO         |NONE            |
|P133      |LED<6>      |IOB      |IO_L34N_GCLK18_0          |OUTPUT   |LVCMOS33   |0             |12        |SLOW     |           |         |       |LOCATED   |NO         |NONE            |
|P134      |LED<7>      |IOB      |IO_L34P_GCLK19_0          |OUTPUT   |LVCMOS33   |0             |12        |SLOW     |           |         |       |LOCATED   |NO         |NONE            |
|P135      |            |         |VCCO_0                    |         |           |0             |          |         |           |         |3.30   |          |           |                |
|P136      |            |         |GND                       |         |           |              |          |         |           |         |       |          |           |                |
|P137      |TX0_TMDSB<2>|IOBS     |IO_L4N_0                  |         |TMDS_33    |0             |          |         |           |         |       |          |NO         |                |
|P138      |TX0_TMDS<2> |IOBM     |IO_L4P_0                  |OUTPUT   |TMDS_33    |0             |          |         |           |         |       |LOCATED   |NO         |NONE            |
|P139      |TX0_TMDSB<1>|IOBS     |IO_L3N_0                  |         |TMDS_33    |0             |          |         |           |         |       |          |NO         |                |
|P140      |TX0_TMDS<1> |IOBM     |IO_L3P_0                  |OUTPUT   |TMDS_33    |0             |          |         |           |         |       |LOCATED   |NO         |NONE            |
|P141      |TX0_TMDSB<0>|IOBS     |IO_L2N_0                  |         |TMDS_33    |0             |          |         |           |         |       |          |NO         |                |
|P142      |TX0_TMDS<0> |IOBM     |IO_L2P_0                  |OUTPUT   |TMDS_33    |0             |          |         |           |         |       |LOCATED   |NO         |NONE            |
|P143      |TX0_TMDSB<3>|IOBS     |IO_L1N_VREF_0             |         |TMDS_33    |0             |          |         |           |         |       |          |NO         |                |
|P144      |TX0_TMDS<3> |IOBM     |IO_L1P_HSWAPEN_0          |OUTPUT   |TMDS_33    |0             |          |         |           |         |       |LOCATED   |NO         |NONE            |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen. 
****** Special VCCO requirements may apply. Please consult the device 
       family datasheet for specific guideline on VCCO requirements. 


